age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
20,0,0,0,0,0,0,1.00E-06,2.00E-06,4.00E-06,7.00E-06,1.10E-05,1.80E-05,2.70E-05,4.30E-05,6.70E-05,1.00E-04,1.45E-04,2.02E-04,2.69E-04,3.39E-04,4.06E-04,4.64E-04,5.05E-04,5.26E-04,5.29E-04,5.18E-04,4.96E-04,4.68E-04,4.43E-04,4.18E-04,3.99E-04,3.85E-04,3.81E-04,3.69E-04,3.67E-04,3.73E-04,3.87E-04,3.79E-04,3.61E-04,3.73E-04,3.89E-04,4.09E-04,4.18E-04,4.22E-04,3.93E-04,4.33E-04,4.46E-04,4.10E-04,4.46E-04,4.57E-04,4.55E-04,3.84E-04,3.82E-04,3.26E-04,2.77E-04,2.46E-04,2.33E-04,2.28E-04,2.14E-04,2.04E-04,1.99E-04
21,0,0,0,0,0,0,1.00E-06,3.00E-06,6.00E-06,1.00E-05,1.60E-05,2.50E-05,3.90E-05,6.00E-05,9.30E-05,1.40E-04,2.03E-04,2.86E-04,3.84E-04,4.91E-04,5.96E-04,6.91E-04,7.65E-04,8.12E-04,8.31E-04,8.24E-04,7.98E-04,7.60E-04,7.19E-04,6.77E-04,6.39E-04,6.06E-04,5.84E-04,5.43E-04,5.13E-04,4.93E-04,4.82E-04,4.48E-04,4.14E-04,4.25E-04,4.37E-04,4.56E-04,4.64E-04,4.76E-04,4.48E-04,4.94E-04,5.17E-04,4.69E-04,5.13E-04,5.35E-04,5.32E-04,4.43E-04,4.43E-04,3.76E-04,3.31E-04,2.95E-04,2.67E-04,2.55E-04,2.50E-04,2.35E-04,2.26E-04
22,0,0,0,0,0,0,1.00E-06,4.00E-06,7.00E-06,1.20E-05,2.00E-05,3.20E-05,5.10E-05,8.00E-05,1.22E-04,1.84E-04,2.69E-04,3.81E-04,5.17E-04,6.67E-04,8.21E-04,9.65E-04,0.001086,0.001172,0.001219,0.001228,0.001204,0.001157,0.001103,0.001039,9.80E-04,9.22E-04,8.79E-04,8.03E-04,7.38E-04,6.84E-04,6.43E-04,5.71E-04,5.07E-04,5.06E-04,5.14E-04,5.27E-04,5.29E-04,5.42E-04,5.17E-04,5.75E-04,6.02E-04,5.50E-04,5.98E-04,6.27E-04,6.31E-04,5.19E-04,5.17E-04,4.38E-04,3.83E-04,3.53E-04,3.20E-04,2.93E-04,2.82E-04,2.77E-04,2.63E-04
23,0,0,0,0,0,0,1.00E-06,4.00E-06,8.00E-06,1.50E-05,2.50E-05,4.00E-05,6.20E-05,9.80E-05,1.52E-04,2.29E-04,3.38E-04,4.81E-04,6.57E-04,8.58E-04,0.001069,0.001274,0.001455,0.001595,0.001686,0.001726,0.001716,0.001669,0.001602,0.00152,0.001433,0.001348,0.001278,0.001156,0.001048,9.54E-04,8.74E-04,7.53E-04,6.47E-04,6.26E-04,6.23E-04,6.29E-04,6.20E-04,6.29E-04,6.00E-04,6.73E-04,7.08E-04,6.47E-04,7.06E-04,7.38E-04,7.46E-04,6.16E-04,6.08E-04,5.11E-04,4.45E-04,4.10E-04,3.83E-04,3.51E-04,3.25E-04,3.14E-04,3.09E-04
24,0,0,0,0,0,0,1.00E-06,4.00E-06,9.00E-06,1.70E-05,2.90E-05,4.60E-05,7.40E-05,1.16E-04,1.80E-04,2.74E-04,4.03E-04,5.78E-04,7.97E-04,0.001051,0.001325,0.0016,0.001853,0.002063,0.002215,0.002303,0.002325,0.00229,0.002221,0.002121,0.002009,0.00189,0.001792,0.001612,0.00145,0.001305,0.001179,9.97E-04,8.38E-04,7.91E-04,7.70E-04,7.61E-04,7.40E-04,7.39E-04,7.02E-04,7.85E-04,8.31E-04,7.62E-04,8.30E-04,8.69E-04,8.77E-04,7.27E-04,7.20E-04,6.00E-04,5.19E-04,4.75E-04,4.43E-04,4.18E-04,3.87E-04,3.62E-04,3.51E-04
25,0,0,0,0,0,0,2.00E-06,6.00E-06,1.40E-05,2.50E-05,4.30E-05,7.10E-05,1.13E-04,1.78E-04,2.77E-04,4.21E-04,6.24E-04,8.96E-04,0.00124,0.001647,0.002095,0.002557,0.002998,0.003381,0.003681,0.003882,0.003973,0.003965,0.003889,0.003745,0.003568,0.003369,0.003195,0.002841,0.002515,0.00222,0.001961,0.001556,0.001237,0.00111,0.001041,9.78E-04,8.86E-04,8.34E-04,7.96E-04,8.70E-04,8.78E-04,8.07E-04,8.66E-04,8.61E-04,8.27E-04,6.45E-04,6.39E-04,5.13E-04,4.36E-04,4.03E-04,3.80E-04,3.62E-04,3.47E-04,3.28E-04,3.12E-04
26,0,0,0,0,0,0,2.00E-06,7.00E-06,1.50E-05,2.80E-05,4.80E-05,7.90E-05,1.27E-04,2.02E-04,3.14E-04,4.78E-04,7.08E-04,0.001022,0.001417,0.00189,0.002419,0.002975,0.003519,0.00401,0.004416,0.004714,0.004884,0.004933,0.004894,0.004756,0.004563,0.004329,0.004118,0.003662,0.00325,0.002867,0.002527,0.002001,0.001595,0.001421,0.001323,0.001227,0.001098,0.001021,9.74E-04,0.00105,0.001046,9.69E-04,0.001032,0.001019,9.74E-04,7.62E-04,7.53E-04,6.07E-04,5.18E-04,4.74E-04,4.45E-04,4.22E-04,4.04E-04,3.89E-04,3.70E-04
27,0,0,0,0,0,0,2.00E-06,8.00E-06,1.60E-05,3.00E-05,5.20E-05,8.60E-05,1.40E-04,2.23E-04,3.48E-04,5.30E-04,7.88E-04,0.00114,0.00159,0.002131,0.002744,0.0034,0.004058,0.004672,0.005202,0.005619,0.005893,0.006022,0.006043,0.005933,0.005739,0.005477,0.005232,0.004659,0.004131,0.003643,0.003205,0.002527,0.002003,0.001778,0.001646,0.001518,0.001344,0.001232,0.001173,0.001255,0.00123,0.001143,0.00121,0.001187,0.001131,8.88E-04,8.77E-04,7.10E-04,6.09E-04,5.58E-04,5.19E-04,4.89E-04,4.66E-04,4.48E-04,4.32E-04
28,0,0,0,0,0,0,2.00E-06,8.00E-06,1.70E-05,3.20E-05,5.50E-05,9.20E-05,1.49E-04,2.39E-04,3.75E-04,5.74E-04,8.55E-04,0.001241,0.001739,0.002345,0.003038,0.003793,0.004566,0.005309,0.005975,0.006527,0.006927,0.007163,0.007269,0.007213,0.007041,0.006768,0.006499,0.0058,0.005144,0.004528,0.003977,0.003124,0.002462,0.002169,0.002002,0.00184,0.001622,0.001468,0.001387,0.001476,0.001434,0.001328,0.001397,0.001361,0.001295,0.001023,0.001009,8.21E-04,7.07E-04,6.50E-04,6.03E-04,5.63E-04,5.33E-04,5.09E-04,4.90E-04
29,0,0,0,0,0,0,2.00E-06,8.00E-06,1.70E-05,3.30E-05,5.70E-05,9.60E-05,1.56E-04,2.51E-04,3.95E-04,6.07E-04,9.07E-04,0.001321,0.001858,0.002518,0.003284,0.004129,0.005011,0.00588,0.006684,0.007382,0.007923,0.008289,0.008508,0.008532,0.00841,0.008151,0.007877,0.007055,0.006263,0.005509,0.004827,0.003779,0.002963,0.002593,0.00238,0.002186,0.001922,0.001726,0.001617,0.001709,0.001649,0.001527,0.001594,0.001543,0.001463,0.001164,0.001147,9.41E-04,8.13E-04,7.48E-04,6.95E-04,6.48E-04,6.07E-04,5.76E-04,5.51E-04
