Age,Year,Incidence,Sex
40,2028,0.013,m
45,2028,0.0107,m
50,2028,0.00867195,m
55,2028,0.00701623,m
60,2028,0.00563982,m
65,2028,0.00458723,m
70,2028,0.00376271,m
75,2028,0.0030764,m
80,2028,0,m
0,2029,0.00461234,m
5,2029,0,m
10,2029,0,m
15,2029,0.00312098,m
20,2029,0.0134,m
25,2029,0.0172,m
30,2029,0.0164,m
35,2029,0.0142,m
40,2029,0.0117,m
45,2029,0.0095876,m
50,2029,0.00778754,m
55,2029,0.00630861,m
60,2029,0.00508236,m
65,2029,0.00412044,m
70,2029,0.00338402,m
75,2029,0.0027723,m
80,2029,0,m
0,2030,0.0043136,m
5,2030,0,m
10,2030,0,m
15,2030,0.00293081,m
20,2030,0.0126,m
25,2030,0.0161,m
30,2030,0.0154,m
35,2030,0.0133,m
40,2030,0.011,m
45,2030,0.00898718,m
50,2030,0.00728085,m
55,2030,0.00591697,m
60,2030,0.0047746,m
65,2030,0.00385982,m
70,2030,0.00317111,m
75,2030,0.0026019,m
80,2030,0,m
0,1970,0,f
5,1970,0,f
10,1970,0,f
15,1970,0,f
20,1970,0,f
25,1970,0,f
30,1970,0,f
35,1970,0,f
40,1970,0,f
45,1970,0,f
50,1970,0,f
55,1970,0,f
60,1970,0,f
65,1970,0,f
70,1970,0,f
75,1970,0,f
80,1970,0,f
0,1971,0,f
5,1971,0,f
10,1971,0,f
15,1971,0,f
20,1971,0,f
25,1971,0,f
30,1971,0,f
35,1971,0,f
40,1971,0,f
45,1971,0,f
50,1971,0,f
55,1971,0,f
60,1971,0,f
65,1971,0,f
70,1971,0,f
75,1971,0,f
80,1971,0,f
0,1972,0,f
5,1972,0,f
10,1972,0,f
15,1972,0,f
20,1972,0,f
25,1972,0,f
30,1972,0,f
35,1972,0,f
40,1972,0,f
45,1972,0,f
50,1972,0,f
55,1972,0,f
60,1972,0,f
65,1972,0,f
70,1972,0,f
75,1972,0,f
80,1972,0,f
0,1973,0,f
5,1973,0,f
10,1973,0,f
15,1973,0,f
20,1973,0,f
25,1973,0,f
30,1973,0,f
35,1973,0,f
40,1973,0,f
45,1973,0,f
50,1973,0,f
55,1973,0,f
60,1973,0,f
65,1973,0,f
70,1973,0,f
75,1973,0,f
80,1973,0,f
0,1974,0,f
5,1974,0,f
10,1974,0,f
15,1974,0,f
20,1974,0,f
25,1974,0,f
30,1974,0,f
35,1974,0,f
40,1974,0,f
45,1974,0,f
50,1974,0,f
55,1974,0,f
60,1974,0,f
65,1974,0,f
70,1974,0,f
75,1974,0,f
80,1974,0,f
0,1975,0,f
5,1975,0,f
10,1975,0,f
15,1975,0,f
20,1975,0,f
25,1975,0,f
30,1975,0,f
35,1975,0,f
40,1975,0,f
45,1975,0,f
50,1975,0,f
55,1975,0,f
60,1975,0,f
65,1975,0,f
70,1975,0,f
75,1975,0,f
80,1975,0,f
0,1976,3.63E-04,f
5,1976,0,f
10,1976,0,f
15,1976,0.00207164,f
20,1976,0.00265123,f
25,1976,0.00258113,f
30,1976,0.00230186,f
35,1976,0.00198405,f
40,1976,0.00169701,f
45,1976,0.00144902,f
50,1976,0.0012362,f
55,1976,0.0010634,f
60,1976,9.11E-04,f
65,1976,7.87E-04,f
70,1976,6.81E-04,f
75,1976,5.99E-04,f
80,1976,0,f
0,1977,3.87E-04,f
5,1977,0,f
10,1977,0,f
15,1977,0.0016332,f
20,1977,0.00209093,f
25,1977,0.00203804,f
30,1977,0.00181384,f
35,1977,0.00156502,f
40,1977,0.00133768,f
45,1977,0.00114319,f
50,1977,9.73E-04,f
55,1977,8.39E-04,f
60,1977,7.18E-04,f
65,1977,6.21E-04,f
70,1977,5.36E-04,f
75,1977,4.71E-04,f
80,1977,0,f
0,1978,6.72E-04,f
5,1978,0,f
10,1978,0,f
15,1978,0.00286548,f
20,1978,0.00366978,f
25,1978,0.00358706,f
30,1978,0.00317206,f
35,1978,0.00274893,f
40,1978,0.00234697,f
45,1978,0.00200579,f
50,1978,0.0017072,f
55,1978,0.00147141,f
60,1978,0.00126001,f
65,1978,0.00108885,f
70,1978,9.41E-04,f
75,1978,8.26E-04,f
80,1978,0,f
0,1979,0.00115011,f
5,1979,0,f
10,1979,0,f
15,1979,0.00489876,f
20,1979,0.00627532,f
25,1979,0.00611742,f
30,1979,0.00544907,f
35,1979,0.0047067,f
40,1979,0.00401292,f
45,1979,0.00342621,f
50,1979,0.0029217,f
55,1979,0.00251059,f
60,1979,0.00215748,f
65,1979,0.00185974,f
70,1979,0.00161036,f
75,1979,0.00140917,f
80,1979,0,f
0,1980,0.00195392,f
5,1980,0,f
10,1980,0,f
15,1980,0.0083518,f
20,1980,0.0107,f
25,1980,0.0104,f
30,1980,0.0093079,f
35,1980,0.00803348,f
40,1980,0.00684308,f
45,1980,0.00583826,f
50,1980,0.00498428,f
55,1980,0.00427544,f
60,1980,0.00368139,f
65,1980,0.00317041,f
70,1980,0.00274794,f
75,1980,0.00239846,f
80,1980,0,f
0,1981,0.00329212,f
5,1981,0,f
10,1981,0,f
15,1981,0.0138,f
20,1981,0.0177,f
25,1981,0.0172,f
30,1981,0.0154,f
35,1981,0.0133,f
40,1981,0.0113,f
45,1981,0.00964436,f
50,1981,0.0082448,f
55,1981,0.00705444,f
60,1981,0.00609312,f
65,1981,0.00523714,f
70,1981,0.00454744,f
75,1981,0.00395822,f
80,1981,0,f
0,1982,0.0054935,f
5,1982,0,f
10,1982,0,f
